id_last_2,xx1_last_2,xx2_last_2,xx3_last_2,id_last_1,xx1_last_1,xx2_last_1,xx3_last_1,id_current,xx1_current,xx2_current,xx3_current,id_next,xx1_next,xx2_next,xx3_next,rs_number_next
230887,0.0,0.2,0.0,230888,1.0,1.0,0.4,230889,1.0,0.0,0.2,230890,0.4,0.6,0.2,0
230888,1.0,1.0,0.4,230889,1.0,0.0,0.2,230890,0.4,0.6,0.2,230891,0.4,0.0,0.0,0
230889,1.0,0.0,0.2,230890,0.4,0.6,0.2,230891,0.4,0.0,0.0,230892,0.8,1.0,1.0,1
230890,0.4,0.6,0.2,230891,0.4,0.0,0.0,230892,0.8,1.0,1.0,230893,0.6,1.0,1.0,1
230891,0.4,0.0,0.0,230892,0.8,1.0,1.0,230893,0.6,1.0,1.0,230894,0.4,0.6,0.8,1
230892,0.8,1.0,1.0,230893,0.6,1.0,1.0,230894,0.4,0.6,0.8,230895,1.0,1.0,0.8,1
230893,0.6,1.0,1.0,230894,0.4,0.6,0.8,230895,1.0,1.0,0.8,230896,0.8,0.2,0.8,1
230894,0.4,0.6,0.8,230895,1.0,1.0,0.8,230896,0.8,0.2,0.8,230897,1.0,0.0,1.0,1
230895,1.0,1.0,0.8,230896,0.8,0.2,0.8,230897,1.0,0.0,1.0,230898,0.6,0.0,1.0,1
230896,0.8,0.2,0.8,230897,1.0,0.0,1.0,230898,0.6,0.0,1.0,230899,1.0,0.8,0.8,1
230897,1.0,0.0,1.0,230898,0.6,0.0,1.0,230899,1.0,0.8,0.8,230900,0.2,1.0,0.0,0
230898,0.6,0.0,1.0,230899,1.0,0.8,0.8,230900,0.2,1.0,0.0,230901,0.6,0.6,0.8,1
230899,1.0,0.8,0.8,230900,0.2,1.0,0.0,230901,0.6,0.6,0.8,230902,0.8,0.6,0.8,1
230900,0.2,1.0,0.0,230901,0.6,0.6,0.8,230902,0.8,0.6,0.8,230903,0.8,0.2,1.0,1
230901,0.6,0.6,0.8,230902,0.8,0.6,0.8,230903,0.8,0.2,1.0,230904,1.0,0.6,0.6,1
230902,0.8,0.6,0.8,230903,0.8,0.2,1.0,230904,1.0,0.6,0.6,230905,0.0,0.8,0.2,0
230903,0.8,0.2,1.0,230904,1.0,0.6,0.6,230905,0.0,0.8,0.2,230906,0.0,1.0,0.8,1
230904,1.0,0.6,0.6,230905,0.0,0.8,0.2,230906,0.0,1.0,0.8,230907,0.6,0.2,0.2,0
230905,0.0,0.8,0.2,230906,0.0,1.0,0.8,230907,0.6,0.2,0.2,230908,0.4,1.0,0.4,1
230906,0.0,1.0,0.8,230907,0.6,0.2,0.2,230908,0.4,1.0,0.4,230909,0.2,0.2,0.0,0
230907,0.6,0.2,0.2,230908,0.4,1.0,0.4,230909,0.2,0.2,0.0,230910,0.4,1.0,1.0,1
230908,0.4,1.0,0.4,230909,0.2,0.2,0.0,230910,0.4,1.0,1.0,230911,0.4,0.4,1.0,1
230909,0.2,0.2,0.0,230910,0.4,1.0,1.0,230911,0.4,0.4,1.0,230912,1.0,0.0,0.8,1
